"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","testGetNonExistentUser","RegressionSuite","Fri Sep 26 19:43:18 UTC 2025","passed","Fri Sep 26 19:43:18 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetNonExistentUser"
"","181","testUpdatePost","RegressionSuite","Fri Sep 26 19:43:18 UTC 2025","passed","Fri Sep 26 19:43:18 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testUpdatePost"
"","3704","testGetSingleUser","RegressionSuite","Fri Sep 26 19:43:14 UTC 2025","passed","Fri Sep 26 19:43:18 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetSingleUser"
"Test page refresh and title consistency","693","testPageRefreshConsistency","RegressionSuite","Fri Sep 26 19:43:35 UTC 2025","passed","Fri Sep 26 19:43:36 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testPageRefreshConsistency"
"","3748","testGetUsersList","RegressionSuite","Fri Sep 26 19:43:14 UTC 2025","passed","Fri Sep 26 19:43:18 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetUsersList"
"Verify all main navigation links are present and functional","608","testNavigationLinksPresence","RegressionSuite","Fri Sep 26 19:43:32 UTC 2025","passed","Fri Sep 26 19:43:32 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testNavigationLinksPresence"
"Verify that the Guru99 homepage loads correctly and title is displayed","1560","testHomePageTitle","RegressionSuite","Fri Sep 26 19:43:29 UTC 2025","passed","Fri Sep 26 19:43:31 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testHomePageTitle"
"","137","testCreateUser","RegressionSuite","Fri Sep 26 19:43:18 UTC 2025","passed","Fri Sep 26 19:43:18 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testCreateUser"
"Test flight link navigation and page verification","594","testFlightLinkNavigation","RegressionSuite","Fri Sep 26 19:43:36 UTC 2025","passed","Fri Sep 26 19:43:37 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testFlightLinkNavigation"
"","83","testDeletePost","RegressionSuite","Fri Sep 26 19:43:18 UTC 2025","passed","Fri Sep 26 19:43:18 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testDeletePost"
"Test successful user login with valid credentials","1954","testValidUserLogin","RegressionSuite","Fri Sep 26 19:43:33 UTC 2025","passed","Fri Sep 26 19:43:35 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testValidUserLogin"
