"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test successful user login with valid credentials","1812","testValidUserLogin","RegressionSuite","Fri Sep 26 20:01:19 UTC 2025","passed","Fri Sep 26 20:01:20 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testValidUserLogin"
"Test flight link navigation and page verification","554","testFlightLinkNavigation","RegressionSuite","Fri Sep 26 20:01:22 UTC 2025","passed","Fri Sep 26 20:01:22 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testFlightLinkNavigation"
"Verify all main navigation links are present and functional","542","testNavigationLinksPresence","RegressionSuite","Fri Sep 26 20:01:17 UTC 2025","passed","Fri Sep 26 20:01:18 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testNavigationLinksPresence"
"Test page refresh and title consistency","645","testPageRefreshConsistency","RegressionSuite","Fri Sep 26 20:01:21 UTC 2025","passed","Fri Sep 26 20:01:21 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testPageRefreshConsistency"
"","2629","testGetSingleUser","RegressionSuite","Fri Sep 26 20:00:59 UTC 2025","passed","Fri Sep 26 20:01:02 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetSingleUser"
"","81","testDeletePost","RegressionSuite","Fri Sep 26 20:01:02 UTC 2025","passed","Fri Sep 26 20:01:02 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testDeletePost"
"","2675","testGetUsersList","RegressionSuite","Fri Sep 26 20:00:59 UTC 2025","passed","Fri Sep 26 20:01:02 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetUsersList"
"Verify that the Guru99 homepage loads correctly and title is displayed","1846","testHomePageTitle","RegressionSuite","Fri Sep 26 20:01:15 UTC 2025","passed","Fri Sep 26 20:01:17 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testHomePageTitle"
"","65","testGetNonExistentUser","RegressionSuite","Fri Sep 26 20:01:02 UTC 2025","passed","Fri Sep 26 20:01:02 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetNonExistentUser"
"","126","testUpdatePost","RegressionSuite","Fri Sep 26 20:01:02 UTC 2025","passed","Fri Sep 26 20:01:02 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testUpdatePost"
"","131","testCreateUser","RegressionSuite","Fri Sep 26 20:01:02 UTC 2025","passed","Fri Sep 26 20:01:02 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testCreateUser"
