"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test page refresh and title consistency","725","testPageRefreshConsistency","RegressionSuite","Sat Sep 27 03:24:38 UTC 2025","passed","Sat Sep 27 03:24:39 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testPageRefreshConsistency"
"","239","testUpdatePost","RegressionSuite","Sat Sep 27 03:24:22 UTC 2025","failed","Sat Sep 27 03:24:22 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testUpdatePost"
"Verify that the Guru99 homepage loads correctly and title is displayed","1669","testHomePageTitle","RegressionSuite","Sat Sep 27 03:24:32 UTC 2025","passed","Sat Sep 27 03:24:34 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testHomePageTitle"
"","157","testCreateUser","RegressionSuite","Sat Sep 27 03:24:22 UTC 2025","failed","Sat Sep 27 03:24:22 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testCreateUser"
"Verify all main navigation links are present and functional","598","testNavigationLinksPresence","RegressionSuite","Sat Sep 27 03:24:35 UTC 2025","passed","Sat Sep 27 03:24:35 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testNavigationLinksPresence"
"","117","testDeletePost","RegressionSuite","Sat Sep 27 03:24:22 UTC 2025","passed","Sat Sep 27 03:24:22 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testDeletePost"
"","3354","testGetSingleUser","RegressionSuite","Sat Sep 27 03:24:18 UTC 2025","failed","Sat Sep 27 03:24:22 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetSingleUser"
"","3377","testGetUsersList","RegressionSuite","Sat Sep 27 03:24:18 UTC 2025","failed","Sat Sep 27 03:24:22 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetUsersList"
"Test flight link navigation and page verification","615","testFlightLinkNavigation","RegressionSuite","Sat Sep 27 03:24:39 UTC 2025","passed","Sat Sep 27 03:24:40 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testFlightLinkNavigation"
"","200","testGetNonExistentUser","RegressionSuite","Sat Sep 27 03:24:22 UTC 2025","passed","Sat Sep 27 03:24:22 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetNonExistentUser"
"Test successful user login with valid credentials","1819","testValidUserLogin","RegressionSuite","Sat Sep 27 03:24:36 UTC 2025","passed","Sat Sep 27 03:24:38 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testValidUserLogin"
