"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test successful user login with valid credentials","1949","testValidUserLogin","RegressionSuite","Fri Sep 26 19:23:02 UTC 2025","passed","Fri Sep 26 19:23:04 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testValidUserLogin"
"","120","testCreateUser","RegressionSuite","Fri Sep 26 19:22:50 UTC 2025","passed","Fri Sep 26 19:22:50 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testCreateUser"
"Verify that the Guru99 homepage loads correctly and title is displayed","1333","testHomePageTitle","RegressionSuite","Fri Sep 26 19:22:59 UTC 2025","passed","Fri Sep 26 19:23:00 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testHomePageTitle"
"Test page refresh and title consistency","650","testPageRefreshConsistency","RegressionSuite","Fri Sep 26 19:23:05 UTC 2025","passed","Fri Sep 26 19:23:05 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testPageRefreshConsistency"
"","51","testGetNonExistentUser","RegressionSuite","Fri Sep 26 19:22:50 UTC 2025","passed","Fri Sep 26 19:22:50 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetNonExistentUser"
"","53","testDeletePost","RegressionSuite","Fri Sep 26 19:22:50 UTC 2025","passed","Fri Sep 26 19:22:50 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testDeletePost"
"Verify all main navigation links are present and functional","556","testNavigationLinksPresence","RegressionSuite","Fri Sep 26 19:23:00 UTC 2025","passed","Fri Sep 26 19:23:01 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testNavigationLinksPresence"
"Test flight link navigation and page verification","570","testFlightLinkNavigation","RegressionSuite","Fri Sep 26 19:23:06 UTC 2025","passed","Fri Sep 26 19:23:06 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testFlightLinkNavigation"
"","4037","testGetUsersList","RegressionSuite","Fri Sep 26 19:22:46 UTC 2025","passed","Fri Sep 26 19:22:50 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetUsersList"
"","134","testUpdatePost","RegressionSuite","Fri Sep 26 19:22:50 UTC 2025","passed","Fri Sep 26 19:22:50 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testUpdatePost"
"","3991","testGetSingleUser","RegressionSuite","Fri Sep 26 19:22:46 UTC 2025","passed","Fri Sep 26 19:22:50 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetSingleUser"
