"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the Guru99 homepage loads correctly and title is displayed","10714","testHomePageTitle","RegressionSuite","Tue Nov 04 14:42:43 UTC 2025","passed","Tue Nov 04 14:42:54 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testHomePageTitle"
"","3598","testGetUsersList","RegressionSuite","Tue Nov 04 14:42:27 UTC 2025","passed","Tue Nov 04 14:42:31 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetUsersList"
"","1328","testCreateUser","RegressionSuite","Tue Nov 04 14:42:31 UTC 2025","passed","Tue Nov 04 14:42:32 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testCreateUser"
"Test page refresh and title consistency","2780","testPageRefreshConsistency","RegressionSuite","Tue Nov 04 14:43:04 UTC 2025","passed","Tue Nov 04 14:43:07 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testPageRefreshConsistency"
"Verify all main navigation links are present and functional","1418","testNavigationLinksPresence","RegressionSuite","Tue Nov 04 14:42:57 UTC 2025","passed","Tue Nov 04 14:42:59 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testNavigationLinksPresence"
"","1516","testUpdatePost","RegressionSuite","Tue Nov 04 14:42:31 UTC 2025","passed","Tue Nov 04 14:42:33 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testUpdatePost"
"","255","testGetNonExistentUser","RegressionSuite","Tue Nov 04 14:42:33 UTC 2025","passed","Tue Nov 04 14:42:33 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetNonExistentUser"
"Test successful user login with valid credentials","2994","testValidUserLogin","RegressionSuite","Tue Nov 04 14:42:59 UTC 2025","passed","Tue Nov 04 14:43:02 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testValidUserLogin"
"Test flight link navigation and page verification","2695","testFlightLinkNavigation","RegressionSuite","Tue Nov 04 14:43:07 UTC 2025","passed","Tue Nov 04 14:43:10 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testFlightLinkNavigation"
"","529","testDeletePost","RegressionSuite","Tue Nov 04 14:42:33 UTC 2025","passed","Tue Nov 04 14:42:33 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testDeletePost"
"","3492","testGetSingleUser","RegressionSuite","Tue Nov 04 14:42:27 UTC 2025","passed","Tue Nov 04 14:42:31 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetSingleUser"
