"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","testGetNonExistentUser","RegressionSuite","Fri Sep 26 19:22:23 UTC 2025","passed","Fri Sep 26 19:22:23 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetNonExistentUser"
"","93","testDeletePost","RegressionSuite","Fri Sep 26 19:22:23 UTC 2025","passed","Fri Sep 26 19:22:23 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testDeletePost"
"","4280","testGetUsersList","RegressionSuite","Fri Sep 26 19:22:18 UTC 2025","passed","Fri Sep 26 19:22:22 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetUsersList"
"Verify that the Guru99 homepage loads correctly and title is displayed","3084","testHomePageTitle","RegressionSuite","Sun Sep 21 06:38:06 UTC 2025","passed","Sun Sep 21 06:38:09 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testHomePageTitle"
"Test successful user login with valid credentials","2114","testValidUserLogin","RegressionSuite","Sun Sep 21 06:38:12 UTC 2025","passed","Sun Sep 21 06:38:14 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testValidUserLogin"
"","178","testCreateUser","RegressionSuite","Fri Sep 26 19:22:22 UTC 2025","passed","Fri Sep 26 19:22:23 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testCreateUser"
"Test flight link navigation and page verification","1713","testFlightLinkNavigation","RegressionSuite","Sun Sep 21 06:38:16 UTC 2025","passed","Sun Sep 21 06:38:18 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testFlightLinkNavigation"
"Test page refresh and title consistency","1006","testPageRefreshConsistency","RegressionSuite","Sun Sep 21 06:38:15 UTC 2025","passed","Sun Sep 21 06:38:16 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testPageRefreshConsistency"
"Verify all main navigation links are present and functional","1251","testNavigationLinksPresence","RegressionSuite","Sun Sep 21 06:38:09 UTC 2025","passed","Sun Sep 21 06:38:11 UTC 2025","com.demo.ui.Guru99Tests","UI Tests","com.demo.ui.Guru99Tests","testNavigationLinksPresence"
"","4200","testGetSingleUser","RegressionSuite","Fri Sep 26 19:22:18 UTC 2025","passed","Fri Sep 26 19:22:22 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testGetSingleUser"
"","199","testUpdatePost","RegressionSuite","Fri Sep 26 19:22:22 UTC 2025","passed","Fri Sep 26 19:22:23 UTC 2025","com.demo.api.ReqresApiTests","API Tests","com.demo.api.ReqresApiTests","testUpdatePost"
